x1,x2
제650차 일산 고양국제고 인근 다세대E 신축 8차#1순위,"수익률(연)12.5%?투자기간10개월?등급B2?모집금액5,000만원?투자인원142명"
제640차 일산 고양국제고 인근 다세대E 신축 7차#1순위,"수익률(연)12.5%?투자기간11개월?등급B2?모집금액1억5,000만원?투자인원318명"
제625차 경기 광주 수레실마을 다세대주택 신축사업 12차#1순위,"수익률(연)13%?투자기간13개월?등급C1?모집금액5,000만원?투자인원132명"
제593차 경기 광주 수레실마을 다세대주택 신축사업 11차#1순위,"수익률(연)13%?투자기간13개월?등급C1?모집금액3,000만원?투자인원103명"
제588차 가평 연립주택B 신축사업 2차#1순위,"수익률(연)12.7%?투자기간11개월?등급B2?모집금액3억4,000만원?투자인원695명"
제587차 경기 광주 수레실마을 다세대주택 신축사업 10차#1순위,"수익률(연)13%?투자기간13개월?등급C1?모집금액4,000만원?투자인원76명"
제583차 경기 광주 수레실마을 다세대주택 신축사업 9차#1순위,"수익률(연)13%?투자기간14개월?등급C1?모집금액2,000만원?투자인원57명"
제578차 경기 광주 수레실마을 다세대주택 신축사업 8차#1순위,"수익률(연)13%?투자기간14개월?등급C1?모집금액2,000만원?투자인원61명"
제577차 경기 광주 수레실마을 다세대주택 신축사업 7차#1순위,"수익률(연)13%?투자기간14개월?등급C1?모집금액2,000만원?투자인원35명"
제576차 가평 연립주택B 신축사업#1순위,수익률(연)12.7%?투자기간12개월?등급B2?모집금액4억원?투자인원636명
제566차 경기 광주 수레실마을 다세대주택 신축사업 6차#1순위,"수익률(연)13%?투자기간14개월?등급C1?모집금액3,000만원?투자인원96명"
제561차 경기 광주 수레실마을 다세대주택 신축사업 5차#1순위,"수익률(연)13%?투자기간14개월?등급C1?모집금액8,000만원?투자인원169명"
제556차 경기 광주 수레실마을 다세대주택 신축사업 4차#1순위,"수익률(연)13%?투자기간14개월?등급C1?모집금액7,000만원?투자인원115명"
제548차 경기 광주 수레실마을 다세대주택 신축사업 3차#1순위,수익률(연)13%?투자기간14개월?등급C1?모집금액1억원?투자인원181명
제546차 일산 고양국제고 인근 다세대E 신축 6차#1순위,수익률(연)12.5%?투자기간11개월?등급B2?모집금액2억원?투자인원371명
제537차 경기 광주 수레실마을 다세대주택 신축사업 2차#1순위,"수익률(연)13%?투자기간14개월?등급C1?모집금액6,000만원?투자인원143명"
제533차 경기 광주 수레실마을 다세대주택 신축사업#1순위,수익률(연)13%?투자기간14개월?등급C1?모집금액1억원?투자인원262명
제518차 가평 24세대 연립주택 신축사업 7차#1순위,수익률(연)12.63%?투자기간9개월?등급B2?모집금액3억원?투자인원609명
제488차 일산 고양국제고 인근 다세대E 신축 5차#1순위,수익률(연)12.5%?투자기간12개월?등급B2?모집금액1억원?투자인원176명
제487차 일산 고양국제고 인근 다세대E 신축 4차#1순위,수익률(연)12.5%?투자기간12개월?등급B2?모집금액1억원?투자인원162명
제486차 일산 고양국제고 인근 다세대E 신축 3차#1순위,수익률(연)12.5%?투자기간12개월?등급B2?모집금액3억원?투자인원658명
제485차 일산 고양국제고 인근 다세대E 신축 2차#1순위,수익률(연)12.5%?투자기간12개월?등급B2?모집금액4억원?투자인원836명
제483차 일산 고양국제고 인근 다세대E 신축#1순위,"수익률(연)12.5%?투자기간12개월?등급B2?모집금액5억원?투자인원1,071명"
제474차 가평 24세대 연립주택 신축사업 6차#1순위,수익률(연)12.63%?투자기간9개월?등급B2?모집금액3억원?투자인원667명
제450차 가평 24세대 연립주택 신축사업 5차#1순위,수익률(연)12.63%?투자기간10개월?등급B2?모집금액2억원?투자인원393명
제405차 가평 24세대 연립주택 신축사업 4차#1순위,수익률(연)12.63%?투자기간11개월?등급B2?모집금액2억원?투자인원429명
제397차 가평 24세대 연립주택 신축사업 3차#1순위,수익률(연)12.63%?투자기간11개월?등급B2?모집금액2억원?투자인원370명
제326차 가평 24세대 연립주택 신축 2차#1순위,수익률(연)12.63%?투자기간13개월?등급B2?모집금액4억원?투자인원556명
제325차 가평 24세대 연립주택 신축#1순위,"수익률(연)12.63%?투자기간13개월?등급B2?모집금액8억원?투자인원1,039명"
