x1,x2
제1771차 제주 신화월드 인근 공동주택 신축사업 23차#1순위,"수익률(연)12.21%?투자기간4개월?등급B1?모집금액12억원?투자인원1,572명"
제1767차 여주대 인근 기숙사형 다가구주택 C 신축사업 4차#1순위,"수익률(연)12.63%?투자기간8개월?등급B3?모집금액1억3,780만원?투자인원310명"
제1765차 하남 덕풍동 풍산아이파크아파트 담보상품#1순위,"수익률(연)9%?투자기간12개월?등급A2?모집금액2억8,000만원?투자인원497명"
제1763차 서초 방배동 현대멤피스아파트 담보상품#2순위,수익률(연)8.5%?투자기간12개월?등급A2?모집금액3억원?투자인원486명
제1762차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 3차#2순위,"수익률(연)9%?투자기간12개월?등급A2?모집금액3,300만원?투자인원88명"
제1752차 수원 북수동 상가주택 신축사업A 9차#2순위 #법인전용상품,"수익률(연)15%?투자기간5개월?등급D2?모집금액2,000만원?투자인원1명"
제1743차 수원 북수동 상가주택 신축사업A 8차#2순위,"수익률(연)15%?투자기간5개월?등급D2?모집금액3,000만원?투자인원35명"
제1742차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱 2차#2순위,"수익률(연)9%?투자기간12개월?등급A2?모집금액5,300만원?투자인원100명"
제1739차 여주대 인근 기숙사형 다가구주택 C 신축사업 3차#1순위,"수익률(연)12.63%?투자기간9개월?등급B3?모집금액1억8,420만원?투자인원370명"
제1729차 은평 진관동 은평뉴타운제각말 푸르지오아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액7,000만원?투자인원136명"
제1722차 전주 만성지구 나눔둥지타운 상가 신축사업 13차#1순위 #법인전용상품,"수익률(연)12%?투자기간12개월?등급B2?모집금액9,000만원?투자인원1명"
제1713차 단국대 인근 로시니힐즈 주상복합 신축사업 15차#1순위 #법인전용상품,"수익률(연)11.8%?투자기간16개월?등급A3?모집금액8,000만원?투자인원1명"
제1709차 화성 청계동 시범계룡리슈빌아파트 리파이낸싱#2순위,수익률(연)9%?투자기간12개월?등급A2?모집금액1억원?투자인원271명
제1703차 여주대 인근 기숙사형 다가구주택 B 신축사업 3차#1순위,"수익률(연)12.77%?투자기간9개월?등급B3?모집금액5억1,140만원?투자인원1,061명"
제1701차 수원 북수동 상가주택 신축사업B 5차#2순위,"수익률(연)15%?투자기간4개월?등급D2?모집금액3,000만원?투자인원55명"
제1700차 수원 북수동 상가주택 신축사업A 7차#2순위,"수익률(연)15%?투자기간5개월?등급D2?모집금액5,000만원?투자인원101명"
제1691차 여주대 인근 기숙사형 다가구주택 B 신축사업 2차#1순위,"수익률(연)12.77%?투자기간9개월?등급B3?모집금액4,830만원?투자인원130명"
제1683차 고양 행신동 서정마을중흥에스클래스아파트 리파이낸싱#2순위,"수익률(연)8.5%?투자기간3개월?등급A3?모집금액9,000만원?투자인원158명"
제1682차 여주대 인근 기숙사형 다가구주택 D 신축사업 2차#1순위,"수익률(연)12.49%?투자기간7개월?등급B2?모집금액5억1,660만원?투자인원978명"
제1678차 여주대 인근 기숙사형 다가구주택 A 신축사업 4차#1순위,"수익률(연)12.77%?투자기간7개월?등급B3?모집금액2억1,740만원?투자인원508명"
제1672차 여주대 인근 기숙사형 다가구주택 D 신축사업 1차#1순위,"수익률(연)12.49%?투자기간7개월?등급B2?모집금액7,050만원?투자인원243명"
제1671차 여주대 인근 기숙사형 다가구주택 C 신축사업 2차#1순위,"수익률(연)12.63%?투자기간9개월?등급B3?모집금액6,910만원?투자인원324명"
제1670차 여주대 인근 기숙사형 다가구주택 C 신축사업 1차#1순위 #법인전용상품,"수익률(연)12.63%?투자기간9개월?등급B3?모집금액3,000만원?투자인원1명"
제1663차 여주대 인근 기숙사형 다가구주택 A 신축사업 3차#1순위,"수익률(연)12.77%?투자기간7개월?등급B3?모집금액1억8,320만원?투자인원361명"
제1661차 진안군청 인근 연립주택 신축사업 11차#1순위,"수익률(연)12.28%?투자기간5개월?등급B1?모집금액1억4,000만원?투자인원261명"
제1656차 인천 용현동 오피스텔 및 근린상가 신축사업 15차#1순위,"수익률(연)12%?투자기간6개월?등급B1?모집금액1억5,000만원?투자인원327명"
제1655차 서울 동선동 5가 다세대 신축사업 13차#2순위,"수익률(연)15%?투자기간6개월?등급D2?모집금액1억2,000만원?투자인원241명"
