"x1","x2","번호","지역","지역2","순위","차수","수익률","투자기간","등급","모집금액","투자인원","TARGET"
"제1564차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 3차#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액9억9,912만원?투자인원1,518명",1564,"용인","메종_포레스트",1,3,12.42,3,"B2",99912,1518,"연체"
"제1558차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 2차#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,394명",1558,"용인","메종_포레스트",1,2,12.42,3,"B2",1e+05,1394,"연체"
"제1554차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,583명",1554,"용인","메종_포레스트",1,1,12.42,3,"B2",1e+05,1583,"연체"
"제1516차 가평 연립주택B 신축사업 12차#1순위","수익률(연)12.7%?투자기간3개월?등급B2?모집금액1억2,000만원?투자인원159명",1516,"가평","연립주택B_신축사업",1,12,12.7,3,"B2",12000,159,"연체"
"제1470차 일산 고양국제고 인근 다세대E 신축 17차#1순위","수익률(연)12.5%?투자기간3개월?등급B2?모집금액7,000만원?투자인원83명",1470,"일산","고양국제고_인근",1,17,12.5,3,"B2",7000,83,"연체"
"제1448차 가평 연립주택B 신축사업 11차#1순위","수익률(연)12.7%?투자기간4개월?등급B2?모집금액5,000만원?투자인원68명",1448,"가평","연립주택B_신축사업",1,11,12.7,4,"B2",5000,68,"연체"
"제1411차 가평 연립주택B 신축사업 10차#1순위","수익률(연)12.7%?투자기간4개월?등급B2?모집금액2억5,000만원?투자인원644명",1411,"가평","연립주택B_신축사업",1,10,12.7,4,"B2",25000,644,"연체"
"제1394차 일산 고양국제고 인근 다세대E 신축 16차#1순위","수익률(연)12.5%?투자기간3개월?등급B2?모집금액1억2,000만원?투자인원223명",1394,"일산","고양국제고_인근",1,16,12.5,3,"B2",12000,223,"연체"
"제1355차 태안 버스터미널 인근 다세대 신축 리파이낸싱 3차#1순위","수익률(연)14%?투자기간6개월?등급C1?모집금액8억4,000만원?투자인원1,494명",1355,"태안","버스터미널_인근",1,3,14,6,"C1",84000,1494,"연체"
"제1342차 태안 버스터미널 인근 다세대 신축 리파이낸싱 2차#1순위","수익률(연)14%?투자기간7개월?등급C1?모집금액10억원?투자인원1,737명",1342,"태안","버스터미널_인근",1,2,14,7,"C1",1e+05,1737,"연체"
"제1331차 태안 버스터미널 인근 다세대 신축 리파이낸싱#1순위","수익률(연)14%?투자기간6개월?등급C1?모집금액10억원?투자인원1,907명",1331,"태안","버스터미널_인근",1,1,14,6,"C1",1e+05,1907,"연체"
"제1240차 고양 대자동 다세대주택 신축 5차#1순위","수익률(연)12.07%?투자기간8개월?등급B1?모집금액3억원?투자인원798명",1240,"고양","대자동_다세대주택",1,5,12.07,8,"B1",30000,798,"연체"
"제1225차 가평 연립주택B 신축사업 9차#1순위","수익률(연)12.7%?투자기간5개월?등급B2?모집금액1억5,000만원?투자인원383명",1225,"가평","연립주택B_신축사업",1,9,12.7,5,"B2",15000,383,"연체"
"제1176차 경기 광주 수레실마을 다세대주택 신축사업 18차#1순위","수익률(연)13%?투자기간7개월?등급C1?모집금액1억6,000만원?투자인원257명",1176,"경기","광주_수레실마을",1,18,13,7,"C1",16000,257,"연체"
