"번호","지역","지역2","순위","차수","리파이낸싱","신축","다세대","타운하우스","건축자금","담보","NPL","근질권","ABL","주택","오피스텔","신도시","개발지구","마을","아파트","빌딩","빌라","상가","단독주택","수익률","투자기간","등급","모집금액","투자인원","Y"
101,"광진구","중곡동",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.14,8,"B1",65000,176,"0"
100,"제주","애월항인근",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.42,11,"B2",1e+05,283,"0"
99,"시흥목감지구","상가신축",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,11,"B1",40000,102,"0"
98,"홍성","도시형생활주택",1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.2,8,"C1",20000,57,"0"
97,"인천","임학역",1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.1,8,"B1",34000,101,"0"
96,"서산","20세대",1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.8,8,"B3",30000,67,"0"
95,"태안32세대","단지형빌라",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.35,5,"B2",80000,199,"0"
94,"전주","삼천동",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.8,8,"A3",80000,236,"0"
93,"용인","양지IC인근",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.07,12,"B1",80000,265,"0"
92,"전주","삼천동",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.8,8,"A3",140000,234,"0"
91,"일산","문봉동",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.63,9,"B2",30000,84,"0"
90,"동두천","51세대",1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,9,"B2",30000,63,"0"
89,"춘천","수익형다가구",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,9,"B1",28000,74,"0"
88,"홍성","도시형생활주택",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.2,8,"C1",30000,56,"0"
87,"인천","임학역",1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.1,9,"B1",33000,74,"0"
86,"이천","하이닉스인근",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,7,"B2",30000,67,"0"
85,"태안32세대","단지형빌라",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.35,6,"B2",90000,175,"0"
84,"일산","문봉동",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.63,10,"B2",70000,169,"0"
83,"부평역","현대라임힐",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.3,14,"B2",38000,122,"0"
82,"태안32세대","단지형빌라",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.35,6,"B2",90000,204,"0"
81,"인천","임학역",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.1,9,"B1",65000,137,"0"
80,"인천","임학역",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.1,9,"B1",60000,102,"0"
79,"서산","20세대",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.8,9,"B3",30000,72,"0"
78,"하계역","20세대",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,5,"B2",10000,30,"0"
77,"인천","임학역",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.1,9,"B1",125000,321,"0"
76,"시흥목감지구","상가신축",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,13,"B1",76000,67,"0"
75,"동두천","51세대",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,10,"B2",30000,83,"0"
74,"용현동","공동주택",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.3,7,"B2",13300,31,"0"
74,"용현동","공동주택",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.3,11,"B2",16700,46,"0"
73,"이천","하이닉스인근",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,7,"B2",30000,65,"0"
72,"가평","전원주택",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.28,9,"B1",60000,152,"0"
71,"시흥목감지구","상가신축",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,13,"B1",163000,400,"0"
70,"제주도","타운하우스",1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,9,"B3",23000,68,"0"
69,"서산","20세대",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.8,10,"B3",65000,124,"0"
68,"수유동","12세대",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,6,"C1",30000,88,"0"
67,"운정신도시","야당역",1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.5,4,"B3",35000,64,"0"
66,"홍성","도시형생활주택",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.2,10,"C1",60000,111,"0"
65,"용현동","공동주택",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.3,12,"B2",1e+05,159,"0"
64,"부평역","현대라임힐",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.3,16,"B2",129000,196,"0"
63,"서울","연희동",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.6,9,"B3",20000,43,"0"
62,"제주도","타운하우스",1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,11,"B3",20000,29,"0"
61,"하계역","20세대",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,6,"B2",15000,37,"0"
59,"당진","송악신도시",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12.9,3,"B3",64000,104,"0"
58,"동두천","51세대",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.7,12,"B2",120000,214,"0"
57,"예산행정타운","인근",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.2,5,"C1",20000,39,"0"
56,"서울","연희동",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.6,10,"B3",20000,26,"0"
55,"이천","하이닉스인근",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,10,"B2",70000,102,"0"
54,"제주도","타운하우스",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,12,"B3",45000,68,"0"
53,"예산행정타운","인근",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.2,6,"C1",20000,27,"0"
